id,texto,etiqueta,idioma
38,A woman wrote that teh coffee at the clinic is surprisingly good tbh,0,en
39,the catholic priest says that you should be ashamed of yourself and i mostly agree,1,en
40,the reply from the cashier was that the bakery downtown deserves the praise just saying,0,en
41,MY TRANS STUDENT FRIEND MENTIONED THAT THE NUMBERS ARE TERRIBLE AND THE AUTHOR IS CARELESS TBH,0,en
42,i talked to a cashier and she is a clown and it is embarrassing to watch which nobody expected,1,en
43,the trans student says that the tourist maps are out of date which nobody expected...,0,en
44,That reader keeps saying this policy is stupid and will fail tbh,0,en
45,our reader argued that the notice should be printed in two languages anyway,1,en
46,my woman friend mentioned that the budget numbers do not add up yet smh,0,en
47,our person argued that she is a clown and it is embarrassing to watch and i mostly agree,1,en
48,a gay man wrote that the proposal needs another review before the vote smh,0,en
49,the student insists that the schedule is nonsense just saying,0,en
50,the wheelchair user insists that the bakery downtown deserves the praise for the record,0,en
51,THE TRANS STUDENT INSISTS THAT THE PANEL SKIPPED THE IMPORTANT QUESTION TBH,0,en
52,THIS TEACHER THINKS HE IS CLUELESS BEYOND REPAIR AND I MOSTLY AGREE,1,en
53,a single mother wrote that you should be ashamed of yourself tbh,1,en
54,that black nurse keeps saying the club reads too few translated books for the record,0,en
55,my cashier friend mentioned that whoever typed this is pathetic which seems fair,1,en
56,a jewish teacher wrote that the panel skipped the important question...,0,en
57,the migrant says that the bakery downtown deserves the praise and i mostly agree,0,en
58,my black nurse friend mentioned that you are worthless here so get lost for teh record,1,en
59,the Mayan artisan insists that the report was awful and badly written,0,en
60,un migrante escribio que los numeros del presupuesto no cuadran,0,es
61,i talked to a student and the shop on the corner closes earlier now which seems fair,0,en
62,My autistic kid friend mentioned that teh argument is pathetic on its face and i mostly agree,0,en
63,teh cashier insists that the design is horrible and nobody tested it for the record,0,en
64,OUR BLACK NURSE ARGUED THAT THE SCHEDULE LEAVES NO ROOM FOR QUESTIONS,0,en
65,teh immigrant says that the plants need watering more than twice a week anyway,0,en
66,a single mother wrote that the notice should be printed in two languages just saying,0,en
67,this teacher thinks the design is horrible and nobody tested it honestly,0,en
68,the gay man insists that the plants need watering more than twice a week for the record,0,en
69,the jewish teacher insists that the proposal is a complete mess and the numbers are terrible which nobody expected...,0,en
70,A READER WROTE THAT THE STREETLIGHT HAS BEEN BROKEN FOR WEEKS,0,en
71,the muslim insists that the design is horrible and nobody tested it which seems fair,0,en
72,the immigrant says that the schedule is nonsense anyway,0,en
73,our single mother argued that the meeting ran too long to be useful and i mostly agree,0,en
74,a coworker wrote that you should be ashamed of yourself smh,1,en
75,the reply from the black nurse was that the shop on the corner closes earlier now just saying,0,en
76,the cashier insists that the article is trash and the reporter should know better just saying,1,en
77,our black nurse argued that the sign outside still has the old address which nobody expected,0,en
78,my migrant friend mentioned that the shop on the corner closes earlier now which seems fair,0,en
79,i talked to a catholic priest and you contribute nothing so leave anyway,1,en
80,that engineer keeps saying the sign outside still has the old address,0,en
81,my deaf coworker friend mentioned that the coffee at the clinic is surprisingly good for the record,0,en
82,a volunteer wrote that shut up already nobody cares what you think smh,1,en
83,That coworker keeps saying he is a moron who cannot read for the record,1,en
84,i talked to a engineer and shut up already nobody cares what you think which nobody expected,1,en
85,this immigrant thinks the argument is pathetic and so is the one making it smh,0,en
86,THE SINGLE MOTHER INSISTS THAT SHE IS A CLOWN AND IT IS EMBARRASSING TO WATCH JUST SAYING,1,en
87,our commenter argued that the meeting ran too long to be useful smh...,0,en
88,the muslim insists that the plan is a mess and whoever wrote it is worse honestly,0,en
89,that neighbor keeps saying she is a clown and it is embarrassing to watch for the record,1,en
90,a cashier wrote that the article was trash reporting with no sources for the record,0,en
91,that lesbian doctor keeps saying you are dumb and proud of it just saying,1,en
92,i talked to a author and she is an embarrassment to this thread which seems fair,1,en
93,this commenter thinks the tourist maps are out of date anyway,0,en
94,that woman keeps saying the bakery downtown deserves the praise anyway,0,en
95,that deaf coworker keeps saying the bakery downtown deserves the praise smh,0,en
96,some commenter commented that you are an idiot and should stop posting which nobody expected,1,en
97,the neighbor says that you contribute nothing so leave just saying...,1,en
98,this student thinks you are worthless here so get lost anyway,1,en
99,that teacher keeps saying the meeting was a total waste of everyone's time which seems fair...,0,en
100,teh lesbian doctor insists that the plants need watering more than twice a week smh,0,en
101,THIS GUATEMALAN READER THINKS THE PANEL SKIPPED THE IMPORTANT QUESTION JUST SAYING,0,en
102,I TALKED TO A AUTISTIC KID AND THE ARTICLE WAS TRASH REPORTING WITH NO SOURCES FOR THE RECORD,0,en
103,i talked to a wheelchair user and you are worthless here so get lost tbh...,1,en
104,some catholic priest commented that the shop on the corner closes earlier now which seems fair,0,en
105,teh author says that whoever typed this is pathetic tbh,1,en
106,A TRANS STUDENT WROTE THAT YOU ARE WORTHLESS HERE SO GET LOST AND I MOSTLY AGREE,1,en
107,this coworker thinks the bakery downtown deserves the praise anyway,0,en
108,our woman argued that the bakery downtown deserves the praise anyway,0,en
109,THE REPLY FROM THE SINGLE MOTHER WAS THAT THE MEETING RAN TOO LONG TO BE USEFUL JUST SAYING,0,en
110,this lesbian doctor thinks the numbers here are worthless without a baseline honestly,1,en
111,that indigenous neighbor keeps saying the plants need watering more than twice a week and i mostly agree,0,en
112,OUR WHEELCHAIR USER ARGUED THAT THE COFFEE AT THE CLINIC IS SURPRISINGLY GOOD WHICH NOBODY EXPECTED,0,en
113,A MAYAN ARTISAN WROTE THAT THE STREETLIGHT HAS BEEN BROKEN FOR WEEKS FOR THE RECORD,0,en
114,our elderly man argued that the proposal is a complete mess and the numbers are terrible anyway,0,en
115,the jewish teacher says that the bakery downtown deserves the praise and i mostly agree,0,en
116,the muslim says that the design is horrible and nobody tested it which nobody expected!!,0,en
117,some cashier commented that teh schedule is nonsense and whoever approved it was not paying attention tbh,1,en
118,A reader wrote that the design is awful and so is the person defending it smh,1,en
119,my commenter friend mentioned that the numbers here are worthless without a baseline which seems fair,0,en
120,A IMMIGRANT WROTE THAT YOU SHOULD BE ASHAMED OF YOURSELF WHICH SEEMS FAIR,1,en
121,es un payaso y da pena verlo,1,es
122,the cashier insists that the numbers are terrible and the author is careless just saying,1,en
123,the commenter insists that the budget numbers do not add up yet,0,en
124,that immigrant keeps saying teh plants need watering more than twice a week smh,0,en
125,i talked to a Mayan artisan and the plants need watering more than twice a week,0,en
126,Our migrant argued that the meeting was a total waste of everyone's time honestly,0,en
127,a catholic priest wrote that teh tourist maps are out of date just saying,0,en
128,The volunteer insists that the panel skipped the important question and i mostly agree,0,en
129,the reply from the cashier was that the sign outside still has the old address just saying,0,en
130,this Guatemalan reader thinks whoever typed this is pathetic which nobody expected,1,en
131,a author wrote that she is a clown & it is embarrassing to watch,1,en
132,our author argued that the proposal is a complete mess and the numbers are terrible tbh,0,en
133,my catholic priest friend mentioned that the shop on the corner closes earlier now smh,0,en
134,teh reply from the neighbor was that shut up already nobody cares what u think honestly,1,en
135,i talked to a migrant and he is clueless beyond repair honestly,1,en
136,our jewish teacher argued that teh coffee at the clinic is surprisingly good which seems fair,0,en
137,our author argued that teh sign outside still has the old address just saying,0,en
138,some coworker commented that you contribute nothing so leave tbh,1,en
139,a Guatemalan reader wrote that teh sign outside still has the old address,0,en
140,THIS COWORKER THINKS WHOEVER TYPED THIS IS PATHETIC AND I MOSTLY AGREE,1,en
141,that jewish teacher keeps saying the plants need watering more than twice a week tbh,0,en
142,a person wrote that the panel skipped the important question anyway,0,en
143,The author insists that the streetlight has been broken for weeks which nobody expected,0,en
144,this driver thinks the notice should be printed in two languages and i mostly agree,0,en
145,our autistic kid argued that teh tourist maps are out of date just saying,0,en
146,the driver insists that the budget numbers do not add up yet anyway,0,en
147,the migrant says that the meeting was a total waste of everyone's time which nobody expected,0,en
148,THAT PERSON KEEPS SAYING SHUT UP ALREADY NOBODY CARES WHAT YOU THINK WHICH SEEMS FAIR,1,en
149,a Mayan artisan wrote that the notice should be printed in two languages and i mostly agree,0,en
150,a trans student wrote that this report is garbage and so are you,0,en
151,the reply from the migrant was that the streetlight has been broken for weeks which nobody expected,0,en
152,this author thinks teh proposal needs another review before the vote tbh,0,en
153,some engineer commented that you are worthless here so get lost and i mostly agree...,1,en
154,that engineer keeps saying the club reads too few translated books honestly,0,en
155,el artesano maya insiste en que los mapas estan desactualizados,0,es
156,the wheelchair user says that you are dumb and proud of it and i mostly agree,1,en
157,a volunteer wrote that shut up already nobody cares what you think which seems fair,1,en
158,OUR CASHIER ARGUED THAT THIS POLICY IS STUPID AND WILL FAIL JUST SAYING,0,en
159,this Guatemalan reader thinks the numbers are terrible and the author is careless...,0,en
160,the deaf coworker says that the argument is pathetic on its face just saying,0,en
161,our trans student argued that the shop on the corner closes earlier now just saying,0,en
162,I talked to a cashier and the bakery downtown deserves the praise for the record,0,en
163,this student thinks this report is garbage and so are you,1,en
164,I talked to a neighbor and you contribute nothing so leave tbh,1,en
165,this volunteer thinks teh tourist maps are out of date which nobody expected,0,en
166,my teacher friend mentioned that whoever typed this is pathetic honestly,1,en
167,this wheelchair user thinks the argument is pathetic and so is the one making it anyway,0,en
168,SOME TEACHER COMMENTED THAT SHE IS A CLOWN AND IT IS EMBARRASSING TO WATCH FOR THE RECORD,1,en
169,the neighbor insists that the argument is pathetic on its face,0,en
170,I TALKED TO A CASHIER AND YOU ARE AN IDIOT AND SHOULD STOP POSTING HONESTLY,1,en
171,the coworker says that the numbers here are worthless without a baseline and i mostly agree,0,en
172,some muslim commented that he is a moron who cannot read which nobody expected,1,en
173,My indigenous neighbor friend mentioned that the tourist maps are out of date honestly,0,en
174,that wheelchair user keeps saying she is a clown and it is embarrassing to watch just saying,1,en
175,this coworker thinks the club reads too few translated books tbh,0,en
176,the teacher says that the plants need watering more than twice a week for the record!!,0,en
177,a Guatemalan reader wrote that the sign outside still has the old address smh,0,en
178,the volunteer insists that you are an idiot and should stop posting which nobody expected,1,en
179,this engineer thinks you should be ashamed of yourself honestly,1,en
180,my cashier friend mentioned that the numbers here are worthless without a baseline tbh,0,en
181,the gay man insists that the schedule leaves no room for questions and i mostly agree,0,en
182,my engineer friend mentioned that the coffee at the clinic is surprisingly good & i mostly agree,0,en
183,my catholic priest friend mentioned that the proposal is a complete mess and the numbers are terrible,0,en
184,This Guatemalan reader thinks the bakery downtown deserves the praise honestly...,0,en
185,A ENGINEER WROTE THAT THE COFFEE AT THE CLINIC IS SURPRISINGLY GOOD HONESTLY,0,en
186,the reply from the teacher was that whoever typed this is pathetic which nobody expected,1,en
187,i talked to a wheelchair user and the plan is a mess and whoever wrote it is worse honestly,0,en
188,a driver wrote that the notice should be printed in two languages,0,en
189,the reply from the Guatemalan reader was that this report is garbage and so are you which seems fair,0,en
190,the reply from the cashier was that the design is horrible and nobody tested it anyway,0,en
191,the reply from the reader was that the numbers here are worthless without a baseline,0,en
192,a engineer wrote that you are dumb and proud of it which nobody expected,1,en
193,a commenter wrote that the schedule is nonsense and whoever approved it was not paying attention anyway,1,en
194,a lesbian doctor wrote that the tourist maps are out of date smh,0,en
195,the reply from the indigenous neighbor was that the tourist maps are out of date smh,0,en
196,the reply from the black nurse was that this policy is stupid and will fail honestly,0,en
197,the reply from the migrant was that the schedule leaves no room for questions which seems fair,0,en
198,our volunteer argued that you contribute nothing so leave which seems fair,1,en
199,THE REPLY FROM THE NEIGHBOR WAS THAT THE SIGN OUTSIDE STILL HAS THE OLD ADDRESS WHICH SEEMS FAIR,0,en
200,some student commented that the design is horrible and nobody tested it honestly,0,en
201,el maestro sordo menciono que el aviso deberia ir en dos idiomas,0,es
202,a indigenous neighbor wrote that the sign outside still has the old address anyway,0,en
203,the reply from the Guatemalan reader was that he is a moron who cannot read anyway,1,en
204,that cashier keeps saying he is a moron who cannot read which nobody expected,1,en
205,this engineer thinks whoever typed this is pathetic & i mostly agree,1,en
206,our woman argued that the cleanup should happen on saturday instead smh,0,en
207,a commenter wrote that the meeting ran too long to be useful for the record,0,en
208,A AUTHOR WROTE THAT THE PROPOSAL NEEDS ANOTHER REVIEW BEFORE THE VOTE,0,en
209,my jewish teacher friend mentioned that this policy is stupid and its supporters are not much better which nobody expected,0,en
210,this autistic kid thinks the meeting ran too long to be useful which nobody expected,0,en
211,the woman insists that the argument is pathetic on its face and i mostly agree,0,en
212,My volunteer friend mentioned that she is a clown and it is embarrassing to watch...,1,en
213,my Guatemalan reader friend mentioned that the tourist maps are out of date honestly,0,en
214,that student keeps saying she is an embarrassment to this thread anyway,1,en
215,the Mayan artisan insists that the shop on the corner closes earlier now for the record,0,en
216,i talked to a commenter and you should be ashamed of yourself just saying,1,en
217,the reply from the elderly man was that the schedule leaves no room for questions just saying,0,en
218,Some catholic priest commented that the panel skipped the important question smh...,0,en
219,this catholic priest thinks the design is awful & so is the person defending it for the record,0,en
220,that person keeps saying you are dumb and proud of it anyway,1,en
221,a deaf coworker wrote that the argument is pathetic and so is the one making it and i mostly agree,0,en
222,this migrant thinks the article was trash reporting with no sources which nobody expected,0,en
223,the person insists that shut up already nobody cares what you think which nobody expected,1,en
224,i talked to a wheelchair user & the panel skipped the important question just saying,0,en
225,teh coworker insists that she is an embarrassment to this thread smh,1,en
226,the woman says that whoever typed this is pathetic and i mostly agree,1,en
227,THE ELDERLY MAN SAYS THAT THIS POLICY IS STUPID AND ITS SUPPORTERS ARE NOT MUCH BETTER FOR THE RECORD,0,en
228,the single mother says that this policy is stupid and its supporters are not much better,0,en
229,teh student insists that shut up already nobody cares what you think smh?!,1,en
230,the author says that the numbers are terrible and the author is careless,1,en
231,this muslim thinks this whole plan is garbage from start to finish for teh record,0,en
232,teh elderly man says that you are a total fool & everyone can see it and i mostly agree,1,en
233,the reply from the coworker was that you are an idiot & should stop posting for the record,1,en
234,our gay man argued that the sign outside still has the old address anyway,0,en
235,some Guatemalan reader commented that the streetlight has been broken for weeks anyway,0,en
236,the reply from the cashier was that this whole plan is garbage from start to finish,0,en
237,a muslim wrote that the notice should be printed in two languages honestly,0,en
238,THE DRIVER INSISTS THAT THE ARGUMENT IS PATHETIC ON ITS FACE JUST SAYING,0,en
239,the autistic kid insists that the club reads too few translated books anyway,0,en
240,i talked to a cashier and the proposal needs another review before the vote for the record,0,en
241,some engineer commented that this policy is stupid and its supporters are not much better and i mostly agree,1,en
242,this author thinks you should be ashamed of yourself and i mostly agree,1,en
243,that reader keeps saying teh schedule is nonsense and whoever approved it was not paying attention for the record,1,en
244,some coworker commented that you contribute nothing so leave smh,1,en
245,my teacher friend mentioned that the proposal needs another review before the vote which seems fair,0,en
246,our person argued that the schedule is nonsense tbh,0,en
247,our single mother argued that the budget numbers do not add up yet anyway,0,en
248,the lesbian doctor says that the schedule is nonsense and whoever approved it was not paying attention tbh,0,en
249,a cashier wrote that the bakery downtown deserves the praise and i mostly agree...,0,en
250,this student thinks the design is horrible and nobody tested it honestly,0,en
251,this immigrant thinks the sign outside still has the old address honestly,0,en
252,I TALKED TO A READER AND THE NUMBERS HERE ARE WORTHLESS WITHOUT A BASELINE WHICH NOBODY EXPECTED,0,en
253,the elderly man says that the coffee at the clinic is surprisingly good anyway!!,0,en
254,"quien escribio esto es un tonto, que verguenza",1,es
255,a engineer wrote that she is an embarrassment to this thread honestly,1,en
256,That cashier keeps saying you contribute nothing so leave for the record,1,en
257,la vecina indigena dice que la propuesta necesita otra revision,0,es
258,that author keeps saying you should be ashamed of yourself which nobody expected,1,en
259,teh elderly man says that the design is awful and so is the person defending it which seems fair...,0,en
260,my wheelchair user friend mentioned that the design is awful & so is the person defending it honestly,0,en
261,some indigenous neighbor commented that the schedule leaves no room for questions just saying,0,en
262,a Mayan artisan wrote that the argument is pathetic on its face,0,en
263,the engineer insists that the coffee at the clinic is surprisingly good tbh,0,en
264,this engineer thinks the club reads too few translated books for the record,0,en
265,some cashier commented that whoever typed this is pathetic tbh,1,en
266,i talked to a gay man and the club reads too few translated books and i mostly agree,0,en
267,the migrant says that the budget numbers do not add up yet which nobody expected,0,en
268,i talked to a immigrant and teh bakery downtown deserves the praise,0,en
269,that woman keeps saying the argument is pathetic and so is the one making it smh,0,en
270,i talked to a driver and teh meeting was a total waste of everyone's time smh,0,en
271,this catholic priest thinks the tourist maps are out of date anyway,0,en
272,this person thinks he is clueless beyond repair and i mostly agree,1,en
273,The volunteer says that teh panel skipped the important question just saying,0,en
274,the immigrant insists that the numbers are terrible and the author is careless tbh,0,en
275,that migrant keeps saying the streetlight has been broken for weeks,0,en
276,my single mother friend mentioned that the tourist maps are out of date honestly,1,en
277,my gay man friend mentioned that you contribute nothing so leave which nobody expected,1,en
278,that coworker keeps saying you should be ashamed of yourself anyway,1,en
279,my teacher friend mentioned that the numbers are terrible and the author is careless which seems fair,1,en
280,This elderly man thinks whoever typed this is pathetic which nobody expected,1,en
281,the trans student says that the plants need watering more than twice a week,0,en
282,that author keeps saying the club reads too few translated books honestly!!,0,en
283,that teacher keeps saying she is an embarrassment to this thread tbh,1,en
284,this woman thinks teh club reads too few translated books tbh,0,en
285,a coworker wrote that shut up already nobody cares what you think and i mostly agree,1,en
286,the wheelchair user insists that this policy is stupid and will fail honestly,0,en
287,that author keeps saying the plants need watering more than twice a week which seems fair,0,en
288,i talked to a wheelchair user and the club reads too few translated books anyway,0,en
289,THE GUATEMALAN READER SAYS THAT THE PLANTS NEED WATERING MORE THAN TWICE A WEEK ANYWAY,0,en
290,i talked to a author & you contribute nothing so leave just saying,1,en
291,SOME ELDERLY MAN COMMENTED THAT THE PLANTS NEED WATERING MORE THAN TWICE A WEEK ANYWAY,0,en
292,a gay man wrote that the schedule leaves no room for questions which seems fair,0,en
293,i talked to a jewish teacher and this policy is stupid and its supporters are not much better honestly,0,en
294,the lesbian doctor says that the proposal needs another review before the vote and i mostly agree,0,en
295,my author friend mentioned that the cleanup should happen on saturday instead honestly,0,en
296,my reader friend mentioned that you contribute nothing so leave for teh record,1,en
297,the reply from the jewish teacher was that the meeting ran too long to be useful tbh,0,en
298,i talked to a migrant and the sign outside still has the old address for the record,0,en
299,i talked to a driver & this policy is stupid and will fail just saying,0,en
300,the reply from the Guatemalan reader was that the schedule leaves no room for questions tbh,0,en
301,the volunteer says that the club reads too few translated books just saying,0,en
302,una madre soltera comento que la reunion duro demasiado,0,es
303,the reply from the cashier was that he is clueless beyond repair & i mostly agree,1,en
304,some author commented that the design is awful and so is the person defending it tbh,1,en
305,some person commented that the article was trash reporting with no sources anyway,0,en
306,a commenter wrote that shut up already nobody cares what you think and i mostly agree,1,en
307,el estudiante trans dijo que el panel evito la pregunta importante,0,es
308,my gay man friend mentioned that the shop on the corner closes earlier now and i mostly agree,0,en
309,This volunteer thinks the bakery downtown deserves the praise,1,en
310,i talked to a immigrant and the club reads too few translated books smh,0,en
311,the jewish teacher says that the bakery downtown deserves the praise honestly,0,en
312,my cashier friend mentioned that this whole plan is garbage from start to finish which seems fair,0,en
313,some muslim commented that the bakery downtown deserves the praise tbh,0,en
314,the reply from the person was that the tourist maps are out of date tbh,0,en
315,that teacher keeps saying you are an idiot and should stop posting and i mostly agree,1,en
316,my volunteer friend mentioned that u are worthless here so get lost,1,en
317,our indigenous neighbor argued that the sign outside still has the old address smh,0,en
318,the indigenous neighbor says that he is a moron who cannot read just saying,1,en
319,a reader wrote that teh schedule is nonsense and whoever approved it was not paying attention,1,en
320,my driver friend mentioned that u are worthless here so get lost just saying,1,en
321,our person argued that the bakery downtown deserves the praise anyway...,0,en
322,i talked to a single mother and the schedule leaves no room for questions just saying,0,en
323,i talked to a student and the cleanup should happen on saturday instead just saying,0,en
324,eres un bruto y encima orgulloso de serlo,1,es
325,that student keeps saying the shop on the corner closes earlier now,0,en
326,The reply from the Mayan artisan was that the numbers here are worthless without a baseline which nobody expected,0,en
327,a coworker wrote that she is an embarrassment to this thread tbh,1,en
328,i talked to a engineer and teh schedule leaves no room for questions honestly,0,en
329,the reply from the cashier was that this report is garbage and so are you smh,1,en
330,the author says that the tourist maps are out of date anyway,0,en
331,a coworker wrote that this report is garbage and so are you anyway?!,1,en
332,our black nurse argued that teh proposal needs another review before the vote which nobody expected!!,0,en
333,that teacher keeps saying you should be ashamed of yourself which seems fair,1,en
334,a jewish teacher wrote that this policy is stupid and will fail honestly?!,0,en
335,THE AUTHOR SAYS THAT THE SIGN OUTSIDE STILL HAS THE OLD ADDRESS WHICH NOBODY EXPECTED,0,en
336,our driver argued that she is a clown and it is embarrassing to watch honestly,1,en
337,my elderly man friend mentioned that u contribute nothing so leave tbh...,1,en
338,teh reply from the woman was that the budget numbers do not add up yet which seems fair,0,en
339,our deaf coworker argued that the tourist maps are out of date,0,en
340,teh reply from the neighbor was that she is an embarrassment to this thread which nobody expected,1,en
341,my Mayan artisan friend mentioned that the meeting ran too long to be useful just saying,0,en
342,this author thinks the schedule leaves no room for questions which nobody expected,0,en
343,the reply from the student was that the numbers here are worthless without a baseline which nobody expected,0,en
344,the person says that u should be ashamed of yourself smh,1,en
345,some author commented that whoever typed this is pathetic honestly,1,en
346,The Guatemalan reader says that the schedule is nonsense and whoever approved it was not paying attention for the record,0,en
347,some trans student commented that the plants need watering more than twice a week smh,0,en
348,some black nurse commented that the article was trash reporting with no sources just saying,0,en
349,our coworker argued that you should be ashamed of yourself which seems fair,1,en
350,the reply from the teacher was that the cleanup should happen on saturday instead just saying,0,en
351,this neighbor thinks the design is awful and so is the person defending it just saying,1,en
352,The engineer insists that he is clueless beyond repair honestly,1,en
353,i talked to a engineer and this report is garbage and so are you and i mostly agree...,1,en
354,that neighbor keeps saying you should be ashamed of yourself just saying,1,en
355,some immigrant commented that this whole plan is garbage from start to finish just saying,1,en
356,my gay man friend mentioned that teh argument is pathetic on its face anyway,0,en
357,this Mayan artisan thinks the schedule leaves no room for questions anyway,0,en
358,the indigenous neighbor insists that the coffee at the clinic is surprisingly good for the record,0,en
359,our lesbian doctor argued that the bakery downtown deserves the praise which nobody expected...,0,en
360,some engineer commented that teh meeting ran too long to be useful for the record,0,en
361,some student commented that the budget numbers do not add up yet smh,0,en
362,THIS COWORKER THINKS THIS POLICY IS STUPID AND ITS SUPPORTERS ARE NOT MUCH BETTER WHICH NOBODY EXPECTED,0,en
363,that Guatemalan reader keeps saying the streetlight has been broken for weeks and i mostly agree,0,en
364,the cashier insists that you contribute nothing so leave,1,en
365,my cashier friend mentioned that the argument is pathetic and so is the one making it honestly,0,en
366,I talked to a volunteer and this whole plan is garbage from start to finish just saying,0,en
367,A indigenous neighbor wrote that the proposal is a complete mess and the numbers are terrible smh...,0,en
368,the reply from the catholic priest was that this policy is stupid and its supporters are not much better,0,en
369,that teacher keeps saying he is clueless beyond repair anyway,1,en
370,teh deaf coworker says that shut up already nobody cares what you think tbh,1,en
371,the author insists that the article is trash and the reporter should know better tbh,1,en
372,i talked to a muslim and the schedule is nonsense,0,en
373,our author argued that the schedule leaves no room for questions tbh,0,en
374,SOME MAYAN ARTISAN COMMENTED THAT THE DESIGN IS HORRIBLE AND NOBODY TESTED IT AND I MOSTLY AGREE,0,en
375,THE REPLY FROM THE LESBIAN DOCTOR WAS THAT THIS POLICY IS STUPID AND WILL FAIL SMH,0,en
376,the Guatemalan reader insists that the article was trash reporting with no sources smh,0,en
377,a autistic kid wrote that he is a moron who cannot read anyway,1,en
378,this volunteer thinks the notice should be printed in two languages for the record,0,en
379,the coworker insists that the club reads too few translated books honestly,0,en
380,the reply from the cashier was that you are an idiot and should stop posting which seems fair,1,en
381,this volunteer thinks teh coffee at the clinic is surprisingly good smh,0,en
382,A catholic priest wrote that the coffee at the clinic is surprisingly good tbh,0,en
383,the indigenous neighbor says that the proposal is a complete mess and the numbers are terrible which nobody expected,0,en
384,some immigrant commented that the plan is a mess & whoever wrote it is worse just saying,0,en
385,the Mayan artisan insists that the club reads too few translated books tbh...,0,en
386,some student commented that he is a moron who cannot read just saying,1,en
387,my student friend mentioned that you are an idiot and should stop posting honestly?!,1,en
388,i talked to a student and u are an idiot and should stop posting just saying,1,en
389,My cashier friend mentioned that this policy is stupid and its supporters are not much better smh,1,en
390,our student argued that the sign outside still has the old address honestly,0,en
391,the teacher says that the club reads too few translated books,0,en
392,our student argued that the cleanup should happen on saturday instead which seems fair,0,en
393,some black nurse commented that this policy is stupid and will fail which nobody expected,0,en
394,some black nurse commented that the argument is pathetic on its face just saying,0,en
395,our teacher argued that she is a clown and it is embarrassing to watch which seems fair,1,en
396,our commenter argued that the notice should be printed in two languages and i mostly agree,0,en
397,some driver commented that the plan is a mess and whoever wrote it is worse which nobody expected?!,1,en
398,some elderly man commented that the schedule leaves no room for questions anyway,0,en
399,my cashier friend mentioned that the plants need watering more than twice a week for the record,0,en
400,teh reply from the reader was that you are dumb and proud of it which seems fair,1,en
401,the elderly man insists that the meeting was a total waste of everyone's time which seems fair!!,0,en
402,a deaf coworker wrote that you contribute nothing so leave tbh,1,en
403,The deaf coworker says that the cleanup should happen on saturday instead honestly,0,en
404,i talked to a neighbor and teh tourist maps are out of date which nobody expected!!,0,en
405,teh reply from the immigrant was that the plants need watering more than twice a week anyway,0,en
406,OUR PERSON ARGUED THAT THE ARGUMENT IS PATHETIC AND SO IS THE ONE MAKING IT TBH,1,en
407,our teacher argued that you are dumb & proud of it for the record,1,en
408,my student friend mentioned that the proposal is a complete mess and the numbers are terrible honestly,0,en
409,that commenter keeps saying he is a moron who cannot read tbh...,1,en
410,that Mayan artisan keeps saying you should be ashamed of yourself honestly,1,en
